word,part_of_speech,definition,source_image,confidence
abbreviate,v.,to shorten,IMG_2031.JPG,1.0
abdicate,v.,to give up power,IMG_2031.JPG,1.0
abhor,v.,despise,IMG_2031.JPG,1.0
abide,v.,"to follow, observe",IMG_2031.JPG,1.0
abnormal,adj.,"not normal, average",IMG_2031.JPG,1.0
abode,n.,residence,IMG_2031.JPG,1.0
abrasive,adj.,irritating,IMG_2031.JPG,1.0
abrupt,adj.,sudden,IMG_2031.JPG,1.0
absolution,n.,forgiveness,IMG_2031.JPG,1.0
absolve,v.,to free from guilt,IMG_2031.JPG,1.0
abstain,v.,to hold back,IMG_2031.JPG,1.0
abundant,adj.,plentiful,IMG_2031.JPG,1.0
accelerate,v.,advance,IMG_2031.JPG,1.0
acclaim,v.,to praise,IMG_2031.JPG,1.0
accolade,n.,strong praise,IMG_2031.JPG,1.0
accommodate,v.,to make room,IMG_2031.JPG,1.0
accountable,adj.,responsible for,IMG_2031.JPG,1.0
accumulate,v.,to collect,IMG_2031.JPG,1.0
accuse,v.,to blame,IMG_2031.JPG,1.0
acrid,adj.,bitter,IMG_2031.JPG,1.0
adamant,adj.,determined,IMG_2031.JPG,1.0
adaptable,adj.,able to change,IMG_2031.JPG,1.0
adept,adj.,skillful,IMG_2031.JPG,1.0
adhere,v.,"to attach, to stick",IMG_2031.JPG,1.0
adjacent,adj.,next to,IMG_2031.JPG,1.0
admonish,v.,to warn,IMG_2031.JPG,1.0
adorn,v.,to decorate,IMG_2031.JPG,1.0
adversary,n.,opponent,IMG_2031.JPG,1.0
adverse,adj.,opposing,IMG_2031.JPG,1.0
adversity,n.,"difficulty, misfortune",IMG_2031.JPG,1.0
advocate,v.,to support,IMG_2031.JPG,1.0
aesthetic,adj.,about beauty,IMG_2031.JPG,1.0
affluent,adj.,wealthy,IMG_2031.JPG,1.0
affront,n.,deliberate act,IMG_2031.JPG,1.0
aggravate,v.,to make worse,IMG_2031.JPG,1.0
aggressive,adj.,forceful,IMG_2031.JPG,1.0
agitate,v.,"to shake, disturb",IMG_2031.JPG,1.0
ailment,n.,mild illness,IMG_2031.JPG,1.0
ajar,adj.,slightly open,IMG_2031.JPG,1.0
alleviate,v.,to lessen,IMG_2031.JPG,1.0
allocate,v.,to give out,IMG_2031.JPG,1.0
allot,v.,"to allocate, to give out",IMG_2031.JPG,1.0
aloof,adj.,indifferent,IMG_2031.JPG,1.0
alter,v.,change,IMG_2031.JPG,1.0
altercation,n.,disagreement,IMG_2031.JPG,1.0
altruistic,adj.,unselfish,IMG_2031.JPG,1.0
amass,v.,"to gather, to accumulate",IMG_2031.JPG,1.0
ambiguous,adj.,unclear,IMG_2031.JPG,1.0
ambivalent,adj.,uncertain,IMG_2031.JPG,1.0
amiable,adj.,friendly,IMG_2031.JPG,1.0
amicable,adj.,"civil, cordial",IMG_2031.JPG,1.0
amiss,adj.,wrong,IMG_2031.JPG,1.0
ample,adj.,"plenty, enough",IMG_2031.JPG,1.0
